Solution ID,Solution abbreviation,Quote,Quote author ID,Author name,Author title
22,Resource pooling,“One of the biggest challenges in our region is the lack of affordable child care slots because of teacher recruitment issues. That's why we started the Employers for Child Care Task Force. We look at how can we improve our childcare infrastructure so that so that we have a system for employer partnerships.”,21,Kelsey Streufert,"Chief Public Affairs Officer, Texas Restaurant Association"
23,On-ramps,"“If I had a magic wand, I would go back in time and pick a different career. Hospital-based audiology was super demanding as a parent and I was forced to leave the workforce. The return on investment wasn’t what I imagined. It’s sad to say this because I love what I do.”",22,Erica,Former Clinical Audiologist
24,Back-up care,"""Start by listening to the caregivers in your employee base and really understanding what type of support they need and want. We have learned through our research that the vast majority of frontline workers rely on friends and family to care for their children and many are happy with this arrangement. But their biggest complaint was needing a more resilient option when that care falls through, particularly at the very last minute. And so we were able to design targeted, reliable back-up support that meets their specific trust and safety criteria .""",23,Olivia Rosenthal,"Co-Founder, Patch Caregiving"
27,Employee assistance programs,"""Our business is our talent. Keeping our talent is important. If our people aren’t out serving clients, we don’t stay in business.""",20,Kate Clifford,"Chief Human Resources Officer, North America, Accenture"
28,Flexible work,"“The draw for doing gig work is the flexibility. A set schedule is hard with all the different activities my kids have. It’s nearly impossible to get everything done. With gig work, I can go to a doctor’s appointment or take personal appointments. Worst case scenario, I can throw kids in the back seat while I drive for DoorDash.”",24,Kiana Wang,Gig Worker
29,On-site childcare,"""Accessibility to care was the primary issue in our community. Now that we've opened an near-site child care center, we're investigating the affordability challenge. The key was for us to start somewhere and not worry about solving every issue at first.""",16,Morgan Bast,"Marketing Director, Steamboat Resort"
29,On-site childcare,"""We are an organization that has many departments that can service both our business and on-site childcare center. We have a finance department to help our Childcare Director with her budget. We have the security department to deal with door blocking mechanisms. We have an IT department when the internet goes down. Many businesses already have this infrastructure and a childcare center is like another department that they can serve.""",8,Loryn Duke,"Communications Director, Steamboat Resort"
29,On-site childcare,"""OnsiteKids develops and operates on-site child care centers specifically for frontline workers. We've baked flexibility and affordability into this model so that employers who have been scared away by Child Care 1.0 (expensive, inflexible, and outdated) can actually take off and pilot our Child Care 2.0 approach - start small, learn fast, and grow with the workforce.”",26,Carmi Medoff,"Founder & CEO, Onsite Kids"
33,Diversity metrics,"“Childcare supports are not an equal benefit, but an equitable benefit. Many employers we've we've worked with oftentimes see that it’s women and employees from households of lower incomes who are disproportionately impacted. These are the people who are lacking the ability to stay in the workforce, be promoted, or take leadership positions. When we look at the data, childcare is actually inhibiting many of these diversity goals that companies want to pursue around diversity, equity, and inclusion.”",14,Nicole Riehl,"President & CEO, EPIC"
35,FFN care,"""I've seen companies acknowledge and offer stipends and subsidies to pay for family, friend, & neighbor (FFN) care, which is a critical component for frontline workers. Government programs already acknowledge this—there's only a minority of states that don’t allow you to use vouchers for FFN.""",12,Siran Cao,"CEO & Co-Founder, Mirza"
35,FFN care,"“We encourage our employer partners to adopt a flexible and inclusive approach to care benefits. For those providing stipends or allowances, we recommend empowering employees to use the funds in ways that best meet their unique care needs—even beyond childcare. It’s about supporting what truly helps their families thrive.”",27,Bobby Isaacson,"Vice President Of Sales, Upwards"
36,Employee survey,"""During the pandemic, women were dropping out of our workforce at a shocking rate, and next thing we knew it became national headlines impacting most companies and our economy. We wanted to figure out where our employees were going and why employee absenteeism was increasing.""",9,Danelle McCusker Rees,"President, Human Resources & Operations Training, UPS"
37,Manager training,"“Until we actually look at the implementation on benefits from a holistic perspective, the tactical solutions won't make a difference. Ensure you're supporting and encouraging leaders and manager to create a culture where they feel empowered to prioritize their childcare needs and support others with those responsibilities.”
",11,Hillary Hittner,"Co-Founder, LUMO"
38,Business councils,"“Early Matters Greater Austin is a coalition of business leaders using their voice to advocate for increased investment in quality, affordable child care and to promote family-friendly workplace policies, recognizing that access to childcare is an economic development issue.”",28,Brooke Freeland,"Early Education Policy Consultant, United Way of Greater Austin"
2,Public policy,"""I worked very hard to lobby the state of Washington and was involved in the organization that wrote the bill that created the paid family leave policy. The responsibility of impact-driven leadership is to be lobbying the government to do what you think is right.""",13,Molly Moon,"Founder & CEO, Molly Moon's Homemade Ice Cream"
25,Coaching & mentorship,"""We're constantly communicating with our Moon crew members when they're ready for a promotion. We love to grow management from within.""",13,Molly Moon,"Founder & CEO, Molly Moon's Homemade Ice Cream"
17,Health insurance,"""I wrote a business plan for an ice cream store that would put workers first by providing living wages and free health insurance. I began lobbying for tax credits to help with health insurance. When I got pregnant, I realized we needed family benefits.”",13,Molly Moon,"Founder & CEO, Molly Moon's Homemade Ice Cream"
