Solution abbreviation,Solution,Category,Description,Resources,Case studies ,Quote,Filter category,Extra resources/case studies/quotes (if needed)
Mental health resources,Offer mental health resources and services to support the unique needs caregivers face,Employee Engagement & Culture,"Mental health support is especially important for caregivers and those facing postapartum depression. When considering who can receive benefits, ensure you cover those workers who are traditionally excluded. Part-time, hourly, contract, frontline, and gig workers can benefit from supports like mental health benefits. This will not only support caregivers in navigating their care obstacles, but it will also help keep them engaged in the workforce.",Read the United States of Care's report on the role employers can play in the postpartum experience,"Starbucks offers all employees and eligible family members mental health support through Lyra. The benefit includes personalized, confidential, evidence-based mental health care for a wide-range of needs, through 20 free sessions each fiscal year.","“It can be very isolating as a frontline worker, especially if you're also a single parent. You're also dealing with a lack of sleep and balancing work and life. Mental health needs are paramount for not only for you as an individual in your life, but also affect how you contribute at work, and how you show up as a parent. So an employer offering to cover the cost of a selected resource or creating a relationship with a mental health counseling app, so employees can get support at whatever hours they are available, is life-changing.” - Fran McIntyre, Pendulum Dependent Care Solutions",,
Employee resource group,Organize an employee resource group (ERG) for caregivers,Employee Engagement & Culture,"Build space and time for your staff to connect around caregiving, empowering employees to share knowledge, discover temporary fixes, and spark a culture of prioritizing care. Often, having an ERG is a great place to start from a listening perspective, and also helps with advocacy when it comes to implementing benefits. Going a step further, have ERGs for specific kinds of caregivers, like those caring for people with disabilities or expecting parents to provide community and shared resources for more specific groups.","Diversity Best Practices provides resources and toolkits for creating ERGs, including specific guidance on supporting caregivers and work-life balance.","Guardian Life Insurance has a Caregivers Advocating for Resources & Empowerment (CARE) ERG focused on promoting care within the culture of the company that is open to all workers, including frontline & nonexempt workers. The ERG hosts monthly webinars for the 1,000+ members to share resources and connect people. ","“Our care ERG is something that all of our employees can participate in, including frontline and part-time employees. It's a really great option to hear the feedback from what people are looking for, what they need, and then we can provide support. They've also been able to advocate for some additional resources, like a caregiving coach who can help look for care options in your area that fit your needs.” -Theresa Roma, Guardian Life Insurance

""The first step for us was creating a business resource group for women in operations. This gave us the ability to have candid conversations. We heard our women believed they either had to choose children or their career. "" -Danelle McCusker Rees, UPS",,"""One of the most important factors of getting on-site daycare across the finish line was passion from our employees. It was really a group of parents within the organization who started advocating for this and were relentless about it. It was almost impossible for our leadership to ignore the employees saying that childcare was super important."" -Loryn Duke, Steamboat Ski Resort
""We listen to the needs of our people by establishing a Parent ERG where we have a direct forum where we get feedback on programs that will be meaningful to people."" -Kate Clifford, Chief Human Resources Officer, North America, Accenture"
Family-sustaining wages,Pay family-sustaining wages for all employees,Financial Support & Benefits,"Provide sustainable salaries that factor in cost-of-living and the ability for caregivers to raise a family and pay for childcare supports. This ultimately propels parents in the workforce and can boost the economy. Paying your workers more can solve the root of a variety of issues frontline workers often face, including affording childcare. ",Read about how family-sustaining jobs can power an inclusive recovery in America’s regional economies.,"Chobani has increased minimum wage for all full-time employees in manufacturing and corporate hourly positions.

Starbucks raised wages for most hourly employees starting at the beginning of 2024 to raise their average hourly retail worker wage to $17.50/hour.",,The most critical aspects for frontline workers,"“When we think about non-traditional frontline workers, there's a really interesting case for thinking through flight attendants. They have to live in lower-cost states or cities and commute to the hubs like Atlanta or New York. There's a lot of unpaid time and that perk of getting to travel last-minute if something's open is also designed in part because it excuses the company paying flight attendants paid so little in regional airlines, as little as $30 - $40K annually. Flight attendants are in a situation where they can’t even afford to live in the city where their work is based, so they rely on family, friends, and neighbor care, given these are extended trips and extended periods of time, it’s not just that it would be expensive, it’s that they need to trust these caregivers; you’re not going ot leave your kids with just anyone for two days.” - Carmi Medoff, OnSite Kids"
Benefit pilot,Pilot a benefit in a small market with the most need,Direct Care Solutions,Look at the needs of your employees and start with those who have the most to gain from piloting a new benefit. A pilot does not need to cost a lot of money (think: between $10K-$40K) and can be achieved in a short period of time (e.g. 6 months). There's a variety of innovators in the care space who are piloting new ways to support the care economy that can help.,"Explore CareSprint's Employer Care Market with innovators who can work with you to start a pilot.

Read about The Care Guild's 2023 Care Innovators.",,"“We did a 6 month pilot for back-up care at one facility. We found 77% of our bookings during the pilot were happening within a 48 hour period, meaning they were true emergencies. We really wanted to solve for the gap in primary care. Then the ROI comes into play because when someone can't show up at work, there's operational pressure. This pilot proved to release that pressure, providing consistency and stability in our workforce.” - Danelle McCusker, UPS

“There was a really interesting pilot in Boston with the construction trades: the Care That Works campaign. It focused on getting more women into the trades, which involved helping them get access to care on the hours they need to be available. One of the biggest issues that they ran into was it's really hard to find care that's open early in the morning and then when they do manage to find it, it's absurdly expensive. So the pilot provides wrap-around services for early hour child care.” - Carmi Medoff, Onsite Kids",I want to innovate,
Pool resources,Pool resources with other employers to bring childcare supports to your region,"Policy, Advocacy, & Systemic Change","Small businesses can pool resources with others in the area to contract with a childcare agency to bring affordable, quality care to their employees–similar to health insurance pools for small businesses. Other supports can be helpful to pool together, like building a clear, digestible directory of care services for caregivers in your workforce that is specific to their geographic region. ",Read bipartisan solutions to how small businesses can support care.,"Understand bipartisan legislation that supports small businesses, including childcare providers themselves.","“One of the biggest challenges in our region is the lack of affordable child care slots because of teacher recruitment issues. That's why we started the Employers for Child Care Task Force. We look at how can we improve our childcare infrastructure so that so that we have a system for employer partnerships.” - Kelsey Streufert, Texas Restaurant Association",I want to innovate,
On-ramps and returnship,Provide an on-ramps back into work after leave or offer a returnship program ,Flexible Work & Leave Policies,"Smooth the transition between taking a leave to caregive and returning to the workforce by providing supports like providing ramp-up work before going into a full-time schedule, flexible scheduling, lactation rooms, predictable shifts, & more. Returnship programs are a great tool to upskill & match those who have been out of the workforce for a while with quality roles.",Review ways employers can support caregivers after taking leave. ,See a comprehensive list of returnship programs.,,,"“If I had a magic wand, I would go back in time and pick a different career. Clinical audiology was super demanding as a parent and I was forced to leave the workforce. The return on investment wasn’t what I imagined. It’s sad to say this because I love what I do.”  -Erica, former clinical audiologist who chose to leave the workforce after her second child was born because of lack of flexibility and childcare costs"
Back-up care,Provide back-up care,Direct Care Solutions,"There are a few options for providing back-up care, including the launch of an on-site or near-site location for back-up care (e.g. UPS & Intel), or providing ‘credits’ or stipends for backup care through places like Vivvi and Care.com. ","Patch Caregiving works with frontline employers to provide back-up care options that their employees need.
Bumo is a simple, tech-enabled solution for the modern, working parent that allows them to instantly book child care on their platform. They offer employer-sponsored options to help employees get the care they need when they need it.","Synchrony supports caregivers with 60 days/year of back-up care.

UPS offers back-up, on-site care for frontline working caregivers at warehouses and facilities across the country for emergencies where regular care options fall through.","""Start by listening to the caregivers in your employee base and really understanding what type of support they need and want. We have learned that the vast majority of frontline workers rely on friends and family to care for their children. But their biggest complaint was needing a more resilient option when that care falls through. And so we were able to design targeted back-up support."" -Olivia Rosenthal, Patch Caregiving",,"“Everywhere there's 2 issues. There's affordability and there's accessibility and we didn't believe we could solve both at the exact same time. So we started with accessibility because, it doesn't matter if it's affordable if there's no space for anyone to go to. So right now our cost for employees is probably higher than we want it to be for our employees, but it is lower than the community rate.” - Danelle McCusker, UPS"
Coaching & mentorship,Provide coaching & mentorship to boost leadership and upward growth for caregivers returning to the workforce,Employee Engagement & Culture,"Creating a mentorship or sponsorship program for caregivers can help propel them forward in their roles, connect them to peers, and match them with promotion opportunities. Upward mobility is an important factor to retaining top talent who have caregiving demands since there is a proven caregiving penalty that arises when workers need to leave the workforce to spend time doing unpaid care work.","LUMO Leadership gives leading organizations the roadmap to cultivating a thriving, enduring workforce. Because supporting your employees through a parental transition and beyond isn’t just good to do — it’s good for business.",Review some exemplar programs.,,,
Paid time off,Provide comprehensive paid time off (PTO) policy that caregivers can access to support their needs,Financial Support & Benefits,"Differing from paid leave, paid time off provides pay for short-term needs, like getting medical care for oneself or a family member or bringing a child to the doctor. PTO can give caregivers additional flexibility to support their responsibilites outside of work while also reducing stress and providing quality time with those they care for. Provide PTO for frontline and nontraditional workers who are typically excluded from these benefits. Create flexibility so that employees could use this time for a few hours at a time for doctor's appointments in the middle of the day or time to pick up children.",Understand the various types of paid time off policies and their benefits.,,,The most critical aspects for frontline workers,
Assistance programs,Provide Employee Assistance Programs or a Care Advocate,Financial Support & Benefits,"Provide individual coaching like a caregiving coach to navigate benefits---similar to a health advocate or navigator. A Care Advocate can be an internal or external contact who helps employees navigate the care landscape and approach the company's benefits. Ensure confidential assistance programs are in place to support the workforce as they navigate caregiving obstacles. This benefit can specifically uplift the unique needs of caregivers of children with developmental delays or disabilities, connecting them to resources, support services, or financial benefits that serve their needs. ",Explore the U.S. Chamber of Commerce's Employer Guide to Childcare Assistance and Tax Credits,"Accenture has a Care Concierge to access to one-to-one, personalized support and training, including help with raising children with developmental challenges, as well as a learning program to support caregivers in living healthy, fulfilling lives. ",,,"Iowa has worked to assist parents in finding childcare openings through the launch of an interactive website.

""Our business is our talent. Keeping our talent is important. If our people aren’t out serving clients, we don’t stay in business."" -Kate Clifford, Chief Human Resources Officer - North America, Accenture"
Flexible work arrangements,Provide flexible working arrangements,Flexible Work & Leave Policies,"Think of ways to make your workplace more accommodating by considering flexibility in work settings and policies. For example, providing schedules 4-8 weeks in advance, creating a shorter shift schedule for caregivers who have to make childcare drop-off and pick-up times, taking paid sick days and/or paid caregiving days off, allowing a per diem option for part-time workers, giving employees tools to make last-minute shift switches, or creating remote working days where possible for part-time, hourly, or gig workers. ","Learn more about flexible working arrangements to offer parents and caregivers.

Review Families and Work Institute employer-employee guides to flexible working conditions for a variety of businesses (small, hospitality, service, and more).",,"“The draw for doing gig work is the flexibility. A set schedule is hard with all the different activities my kids have. It’s nearly impossible to get everything done. With gig work, I can go to a doctor’s appointment or take personal appointments. Worst case scenario, I can throw kids in the back seat while I drive for DoorDash.” -Kiana, gig worker & mother of 5

“Nonstandard and volatile schedules make it more challenging for parents to access high-quality early care and education programs, few of which operate during early morning, evening, overnight, or weekend hours, or are able to accommodate a constantly shifting schedule.” -National Women’s Law Center",The most critical aspects for frontline workers,
On-site childcare,Provide on-site childcare,Direct Care Solutions,"Offering on-site early childhood education can support the retention, promotion, & inclusion of caregivers in the workforce. Employers can recoup hard costs through the Employer-Provided Childcare Credit. Providing quality childcare on or near a worksite can greatly relieve the stress of caregivers and improve engagement and retention. Going further, provide special needs services to further include more children, and thus employees, in these programs.","If you offer care, recoup costs through the Employer-Provided Child Care Credit.

OnsiteKids develops modular early learning centers and delivers joyful, equity-based early education and care as an employer-subsidized benefit.","Steamboat Ski Resort has a year-round child care center that is an employer-based facility, prioritizing staff members while offering spots to community members when space is available.

Red Rooster Coffee opened Yellow Hen, an early childhood center located inside the same building as the coffee shop and roasting facility. Yellow Hen provides an affordable, convenient, and high-quality childcare option for the Red Rooster staff.","""Accessibility to care was the primary issue in our community. Now that we've opened an on-site chilcare center, we're investigating the affordability challenge. The key was for us to start somewhere and not worry about solving every issue at first."" -Morgan Bast, Marketing Director, Steamboat Resort

""We are an organization that has many departments that can service both our business and on-site childcare center. We have a finance department to help our Childcare Director with her budget. We have the security department to deal with door blocking mechanisms. We have an IT department when the internet goes down. Many businesses already have this infrastructure and a childcare center is like another department that they can serve."" -Loryn Duke, Steamboat Resort",,"Companies like Disney, offer full-time employees affordable onsite childcare run by the Central Florida YMCA at their Florida park, and assists their cast members in California with childcare costs at over 60 licensed childcare facilities.
""At Onsite Kids we develop and operate on site childcare centers specifically for frontline workers. We've baked in flexibility and affordability into this model so that a lot of employers who have been scared away from this concept for far too long can actually take off and pilot this, starting small and then learning and growing to bring this to their full workforce.” - Carmi Medoff, Onsite Kids"
Paid leave,"Provide paid parental, family, and/or medical leave",Direct Care Solutions,"The United States lags behind in providing paid parental leave, so many companies have stepped in to cover this gap.  Offering paid family and medical leave can be crucial for parents and caregivers to be able to meet both their childcare, work, and budget needs.","Review Bobbie's playbook for small businesses to start a paid leave program for caregviers.

Federal tax credits are available for employers who provide these benefits, read more at the Employer Credit for Paid Family and Medical Leave.

Paidleave.ai can help caregivers, as well as HR leaders, navigate how to access paid leave benefits in states where that is an option.","See which companies have paid leave.

Molly Moon's is a small ice cream company that has 12 weeks of family leave and offers  vacation, retirement, subsidized ORCA passes, and secure schedules posted in advance. 

Etsy employees have access to 26 weeks of fully paid parental leave, regardless of their gender, whenever a new child comes into their home. 

Read about an example of a comprehensive parental leave policy and it’s impact on child development.",,,
